id,timestamp,device_id,device_name,action,details
238,2025-08-27T22:58:00.909101,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
239,2025-08-27T22:58:09.046978,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
240,2025-08-27T22:58:39.961514,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
241,2025-08-27T22:59:49.533737,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
242,2025-08-27T23:28:41.360875,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
243,2025-08-27T23:28:48.860710,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
244,2025-08-27T23:58:51.990429,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
245,2025-08-28T00:28:55.276774,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
246,2025-08-28T00:58:58.677369,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
247,2025-08-28T01:03:09.858267,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
248,2025-08-28T01:03:18.266038,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
249,2025-08-28T01:05:31.885470,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
250,2025-08-28T01:13:46.348957,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
251,2025-08-28T01:15:14.656174,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
252,2025-08-28T01:24:15.693225,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
253,2025-08-28T01:26:05.858501,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
254,2025-08-28T01:27:18.291224,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
255,2025-08-28T01:31:01.921814,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
256,2025-08-28T01:31:10.649309,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
257,2025-08-28T02:01:13.889646,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
258,2025-08-28T02:31:17.308147,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
259,2025-08-28T03:01:20.653315,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
260,2025-08-28T03:31:27.533375,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
261,2025-08-28T15:57:40.333549,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
262,2025-08-28T16:27:43.612325,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
263,2025-08-28T16:56:23.791839,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
264,2025-08-28T17:11:58.717081,,4147978b-91c0-42f1-92e1-45bc49038c9b,PRICE_QUERY_OK,"{""barcode"": ""30"", ""price"": 15.97, ""error"": null}"
265,2025-08-28T17:26:28.467442,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
266,2025-08-28T17:38:36.715454,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
267,2025-08-28T18:02:27.314528,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
268,2025-08-28T18:10:20.816978,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
269,2025-08-28T18:30:21.546129,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
270,2025-08-28T18:32:56.735506,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
