barcode,name,price,promo
2568,PEITO PERU SAD.DEF.S C.FAT.kg,77.4,
2570,CEBOLA ROXA kg,14.99,
2573,LULA CALAMAR INT.ARGEN.CONG.kg,58.79,
2584,BAGUETE C QUEIJO kg,24.9,
2617,PP JOELHO DE PORCO kg,49.9,
2654,PEIXE TILAPIA INT.CATIV.kg,21.79,
2655,PEIXE SAINT PETER INT.CATIV.kg,14.99,
2657,PEIXE CARPA INT.CATIV.kg,15.99,
2668,CAMARAO CINZA C CAB.CRU EMB.kg,57.99,
2687,PERNIL SUI.C OS.C P.RESF.kg,16.99,
2688,PALETA C OS.C P.RESF.kg,16.99,
2689,CARRE C COST.SUI.RESF.kg,16.99,
2690,JOELHO SUI.EMB.RESF.kg,16.99,
2691,BISNAGUINHA LEITE kg,19.9,
2692,PAO HAMBURGUE kg,20.9,
2693,PAO HAMBURGUER C GERGELIM kg,21.9,
2694,PAO HOT DOG kg,20.9,
2695,PAO HOT DOG C GERGELIM kg,21.9,
2698,PALETA SUI.C OS.RESF.kg,22.99,
2699,CARRE SUI. RESF.kg,22.99,
2700,COSTELA SUI.C OS.RESF.kg,29.99,
2701,BARRIGA SUI.RESF.kg,28.99,
2702,TOUCINHO SUI.RESF.kg,16.99,
2706,FILE TILAPIA CATIV.kg,59.9,
3951,PAO FRANCES 54% INTEGRAL kg,18.99,
4476,PAO P RABANADA kg,26.9,
4550,BISCOITO COSME DAM.BAMBOLE EMB.kg,42.9,
4552,BISCOITO COSME DAM.BEIJO FREIRA EMB.kg,45.9,
4553,BISCOITO COSME DAM.CAST.CAJU EMB.kg,45.9,
4554,BISCOITO COSME DAM.GRAVAT.EMB.kg,45.9,
4555,BISCOITO COSME DAM.PAL.EMB.kg,43.9,
4558,BISCOITO COSME DAM.UGA UGA EMB.kg,45.9,
4559,BISCOITO POLVILHO kg,37.9,
4560,BROINHA COCO kg,33.89,
4561,BROINHA LARANJA kg,37.9,
4563,BROA AIROSA kg,29.9,
4570,ALHO kg,44.9,
4571,ALHO EMB.kg,44.9,
4610,PEIXE POLLOK SALG.LASCA.EMB.kg,59.9,
4611,BERINJELA JAP.kg,25.71,
4612,CAMARAO CINZA INT.FRES.kg,67.99,
4674,PAO ITALIANO CALABRESAkg,33.9,
4679,PP MANDIOCA FRITA kg,37.9,
4680,PP ESCONDIDINHO CARNE SECA kg,116.9,
4718,BACALHAU SALG.SC.LOMBO GADUS MACR.EMB.kg,149.5,
4719,BACALHAU SALG.SC.DESF.GADUS MACR.EMB.kg,124.9,
4720,BACALHAU SALG.SC.FILE GADUS MACR.EMB.kg,142.9,
4742,PP SALADA DE BETERRABA COZIDA kg,29.9,
4743,PP SALADA RATATULE kg,49.9,
4746,PP SALADA DE BROCULE COZIDO kg,49.9,
4748,PP SALADA BERINJELA ASSADA kg,58.9,
4751,PP SALADA WALDORF kg,44.9,
4754,PP SALADA DE VAGEM kg,54.9,
4758,PP SALADA DE CENOURA COZIDO kg,35.9,
4760,PP SALADA DE TOMATE kg,38.9,
4764,PP SALADA COLISLAW kg,44.9,
4765,PP SALADA VINAGRETE kg,38.9,
4790,PERNIL SUI.C OS.S P.RESF.kg,28.99,
4791,PERNIL SUI.S OS.S P.EMB.RESF.kg,28.99,
4792,PE SUI.EMB.RESF.kg,16.99,
4795,FILE TILAPIA S P.CONG.EMB.kg,43.99,
4796,CAMARAO INT.COZ.PEQ.EMB.kg,61.99,
4799,FILE PEITO FGO.FAT.RESF.kg,26.99,
4807,PP TENDER kg,144.9,
4808,ROCAMBOLE PRESTIGIO kg,48.9,
4809,ROCAMBOLE MARACUJA kg,48.9,
4824,GRUSTOLI C PINGA kg,40.9,
4848,CAMARAO DESC.CONG EMB.kg,127.99,
4852,PP MAMINHA ASSADA kg,118.9,
4854,PP RABADA kg,91.9,
4855,PP OMELETE kg,44.9,
4860,PITAYA kg,23.99,
